"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","58.84","63.09","63.09","63.09","","-8.92%"
"11/01/2023","64.60","74.28","74.28","74.28","","-14.78%"
"10/01/2023","75.80","77.18","77.18","77.18","","-7.58%"
"09/01/2023","82.02","73.26","73.26","73.26","","15.33%"
"08/01/2023","71.12","70.23","70.23","70.23","","1.27%"
"07/01/2023","70.23","58.61","58.61","58.61","","22.20%"
"06/01/2023","57.47","56.73","56.73","56.73","","7.22%"
"05/01/2023","53.60","62.20","62.20","62.20","","-13.83%"
"04/01/2023","62.20","64.65","64.65","64.65","","6.32%"
"03/01/2023","58.50","59.89","59.89","59.89","","-2.94%"
"02/01/2023","60.27","56.18","56.18","56.18","","7.53%"
"01/01/2023","56.05","58.98","58.98","58.98","","-0.41%"
"12/01/2022","56.28","69.45","69.45","69.45","","-15.42%"
"11/01/2022","66.54","76.73","76.73","76.73","","-11.33%"
"10/01/2022","75.04","71.61","71.61","71.61","","6.59%"
"09/01/2022","70.40","74.02","74.02","74.02","","-9.91%"
"08/01/2022","78.14","77.40","77.40","77.40","","-5.64%"
"07/01/2022","82.81","89.53","89.53","89.53","","-8.99%"
"06/01/2022","90.99","94.53","94.53","94.53","","-7.18%"
"05/01/2022","98.03","78.08","78.08","78.08","","23.45%"
"04/01/2022","79.41","81.83","81.83","81.83","","-4.22%"
"03/01/2022","82.91","98.29","98.29","98.29","","-12.06%"
"02/01/2022","94.28","90.47","90.47","90.47","","2.43%"
"01/01/2022","92.04","76.61","76.61","76.61","","19.84%"
"12/01/2021","76.80","70.55","70.55","70.55","","10.76%"
"11/01/2021","69.34","83.10","83.10","83.10","","-15.54%"
"10/01/2021","82.10","76.67","76.67","76.67","","8.23%"
"09/01/2021","75.86","68.68","68.68","68.68","","7.03%"
"08/01/2021","70.88","71.43","71.43","71.43","","-4.18%"
"07/01/2021","73.97","74.66","74.66","74.66","","-1.25%"
"06/01/2021","74.91","68.81","68.81","68.81","","10.58%"
"05/01/2021","67.74","68.44","68.44","68.44","","3.12%"
"04/01/2021","65.69","60.35","60.35","60.35","","6.59%"
"03/01/2021","61.63","64.55","64.55","64.55","","-5.07%"
"02/01/2021","64.92","56.45","56.45","56.45","","16.32%"
"01/01/2021","55.81","50.97","50.97","50.97","","9.50%"
"12/01/2020","50.97","49.68","49.68","49.68","","8.63%"
"11/01/2020","46.92","46.92","46.92","46.92","","26.40%"
"10/01/2020","37.12","37.12","37.12","37.12","","-8.32%"
"09/01/2020","40.49","40.49","40.49","40.49","","-10.22%"
"08/01/2020","45.10","45.10","45.10","45.10","","3.51%"
"07/01/2020","43.57","43.57","43.57","43.57","","-1.34%"
"06/01/2020","44.16","44.16","44.16","44.16","","24.53%"
"05/01/2020","35.46","35.46","35.46","35.46","","88.82%"
"04/01/2020","18.78","18.78","18.78","18.78","","24.29%"
"03/01/2020","15.11","15.11","15.11","15.11","","-69.07%"
"02/01/2020","48.86","48.86","48.86","48.86","","-16.29%"
"01/01/2020","58.37","58.37","58.37","58.37","","-11.92%"
"12/01/2019","66.27","66.27","66.27","66.27","","1.72%"
"11/01/2019","65.15","65.15","65.15","65.15","","8.31%"
"10/01/2019","60.15","60.15","60.15","60.15","","0.35%"
"09/01/2019","59.94","59.94","59.94","59.94","","-3.46%"
"08/01/2019","62.09","62.09","62.09","62.09","","-4.31%"
"07/01/2019","64.89","64.89","64.89","64.89","","-2.08%"
"06/01/2019","66.27","66.27","66.27","66.27","","-2.08%"
"05/01/2019","67.68","67.68","67.68","67.68","","-7.40%"
"04/01/2019","73.09","73.09","73.09","73.09","","6.50%"
"03/01/2019","68.63","68.63","68.63","68.63","","6.03%"
"02/01/2019","64.73","64.73","64.73","64.73","","2.81%"
"01/01/2019","62.96","62.96","62.96","62.96","","24.38%"
"12/01/2018","50.62","50.62","50.62","50.62","","-12.59%"
"11/01/2018","57.91","57.91","57.91","57.91","","-20.99%"
"10/01/2018","73.29","73.29","73.29","73.29","","-10.70%"
"09/01/2018","82.07","82.07","82.07","82.07","","6.74%"
"08/01/2018","76.89","76.89","76.89","76.89","","5.68%"
"07/01/2018","72.76","72.76","72.76","72.76","","-4.81%"
"06/01/2018","76.44","76.44","76.44","76.44","","0.91%"
"05/01/2018","75.75","75.75","75.75","75.75","","3.53%"
"04/01/2018","73.17","73.17","73.17","73.17","","8.13%"
"03/01/2018","67.67","67.67","67.67","67.67","","6.02%"
"02/01/2018","63.83","63.83","63.83","63.83","","-4.26%"
"01/01/2018","66.67","66.67","66.67","66.67","","-0.09%"
"12/01/2017","66.73","66.73","66.73","66.73","","5.37%"
"11/01/2017","63.33","63.33","63.33","63.33","","3.57%"
"10/01/2017","61.15","61.15","61.15","61.15","","8.67%"
"09/01/2017","56.27","56.27","56.27","56.27","","8.86%"
"08/01/2017","51.69","51.69","51.69","51.69","","-0.10%"
"07/01/2017","51.74","51.74","51.74","51.74","","12.28%"
"06/01/2017","46.08","46.08","46.08","46.08","","-4.30%"
"05/01/2017","48.15","48.15","48.15","48.15","","-2.45%"
"04/01/2017","49.36","49.36","49.36","49.36","","-2.45%"
"03/01/2017","50.60","50.60","50.60","50.60","","-3.27%"
"02/01/2017","52.31","52.31","52.31","52.31","","-3.04%"
"01/01/2017","53.95","53.95","53.95","53.95","","0.92%"
"12/01/2016","53.46","53.46","53.46","53.46","","14.11%"
"11/01/2016","46.85","46.85","46.85","46.85","","4.46%"
"10/01/2016","44.85","44.85","44.85","44.85","","-3.22%"
"09/01/2016","46.34","46.34","46.34","46.34","","4.58%"
"08/01/2016","44.31","44.31","44.31","44.31","","12.15%"
"07/01/2016","39.51","39.51","39.51","39.51","","-15.67%"
"06/01/2016","46.85","46.85","46.85","46.85","","-1.80%"
"05/01/2016","47.71","47.71","47.71","47.71","","7.60%"
"04/01/2016","44.34","44.34","44.34","44.34","","23.13%"
"03/01/2016","36.01","36.01","36.01","36.01","","6.01%"
"02/01/2016","33.97","33.97","33.97","33.97","","7.19%"
"01/01/2016","31.69","31.69","31.69","31.69","","-9.87%"
"12/01/2015","35.16","35.16","35.16","35.16","","-18.00%"
"11/01/2015","42.88","42.88","42.88","42.88","","-7.59%"
"10/01/2015","46.40","46.40","46.40","46.40","","1.00%"
"09/01/2015","45.94","45.94","45.94","45.94","","-2.40%"
"08/01/2015","47.07","47.07","47.07","47.07","","-9.20%"
"07/01/2015","51.84","51.84","51.84","51.84","","-13.97%"
"06/01/2015","60.26","60.26","60.26","60.26","","-3.37%"
"05/01/2015","62.36","62.36","62.36","62.36","","-1.17%"
"04/01/2015","63.10","63.10","63.10","63.10","","20.33%"
"03/01/2015","52.44","52.44","52.44","52.44","","-13.31%"
"02/01/2015","60.49","60.49","60.49","60.49","","27.03%"
"01/01/2015","47.62","47.62","47.62","47.62","","-10.86%"
"12/01/2014","53.42","53.42","53.42","53.42","","-25.17%"
"11/01/2014","71.39","71.39","71.39","71.39","","-14.32%"
"10/01/2014","83.32","83.32","83.32","83.32","","-10.14%"
"09/01/2014","92.72","92.72","92.72","92.72","","-7.62%"
"08/01/2014","100.37","100.37","100.37","100.37","","-4.45%"
"07/01/2014","105.04","105.04","105.04","105.04","","-3.88%"
"06/01/2014","109.28","109.28","109.28","109.28","","2.31%"
"05/01/2014","106.81","106.81","106.81","106.81","","-0.81%"
"04/01/2014","107.68","107.68","107.68","107.68","","2.41%"
"03/01/2014","105.15","105.15","105.15","105.15","","-2.76%"
"02/01/2014","108.13","108.13","108.13","108.13","","0.76%"
"01/01/2014","107.31","107.31","107.31","107.31","","-1.32%"
"12/01/2013","108.75","108.75","108.75","108.75","","-1.78%"
"11/01/2013","110.72","110.72","110.72","110.72","","3.98%"
"10/01/2013","106.48","106.48","106.48","106.48","","-0.49%"
"09/01/2013","107.00","107.00","107.00","107.00","","-7.58%"
"08/01/2013","115.77","115.77","115.77","115.77","","6.66%"
"07/01/2013","108.54","108.54","108.54","108.54","","6.10%"
"06/01/2013","102.30","102.30","102.30","102.30","","2.32%"
"05/01/2013","99.98","99.98","99.98","99.98","","-1.39%"
"04/01/2013","101.39","101.39","101.39","101.39","","-5.74%"
"03/01/2013","107.56","107.56","107.56","107.56","","-1.60%"
"02/01/2013","109.31","109.31","109.31","109.31","","-5.63%"
"01/01/2013","115.83","115.83","115.83","115.83","","5.68%"
"12/01/2012","109.60","109.60","109.60","109.60","","-0.63%"
"11/01/2012","110.29","110.29","110.29","110.29","","0.77%"
"10/01/2012","109.45","109.45","109.45","109.45","","-0.37%"
"09/01/2012","109.86","109.86","109.86","109.86","","-3.36%"
"08/01/2012","113.68","113.68","113.68","113.68","","7.31%"
"07/01/2012","105.94","105.94","105.94","105.94","","13.40%"
"06/01/2012","93.42","93.42","93.42","93.42","","-7.52%"
"05/01/2012","101.02","101.02","101.02","101.02","","-13.96%"
"04/01/2012","117.41","117.41","117.41","117.41","","-2.81%"
"03/01/2012","120.81","120.81","120.81","120.81","","-0.31%"
"02/01/2012","121.18","121.18","121.18","121.18","","9.61%"
"01/01/2012","110.56","110.56","110.56","110.56","","4.46%"
"12/01/2011","105.84","105.84","105.84","105.84","","-5.09%"
"11/01/2011","111.52","111.52","111.52","111.52","","2.66%"
"10/01/2011","108.63","108.63","108.63","108.63","","4.33%"
"09/01/2011","104.12","104.12","104.12","104.12","","-10.30%"
"08/01/2011","116.08","116.08","116.08","116.08","","1.80%"
"07/01/2011","114.03","114.03","114.03","114.03","","3.70%"
"06/01/2011","109.96","109.96","109.96","109.96","","-3.71%"
"05/01/2011","114.20","114.20","114.20","114.20","","-7.15%"
"04/01/2011","122.99","122.99","122.99","122.99","","8.72%"
"03/01/2011","113.13","113.13","113.13","113.13","","2.41%"
"02/01/2011","110.47","110.47","110.47","110.47","","16.20%"
"01/01/2011","95.07","95.07","95.07","95.07","","3.70%"
"12/01/2010","91.68","91.68","91.68","91.68","","7.61%"
"11/01/2010","85.20","85.20","85.20","85.20","","5.29%"
"10/01/2010","80.92","80.92","80.92","80.92","","1.68%"
"09/01/2010","79.58","79.58","79.58","79.58","","5.53%"
"08/01/2010","75.41","75.41","75.41","75.41","","-0.91%"